city,country,n_reviews,n_suppliers,H_any_raw,H_any_lo,H_any_hi,H_any_se,H_conduct_raw,H_conduct_se,H_ambience_raw,H_ambience_se,H_development_raw,H_development_se,SQpos_flag_raw,SQpos_flag_se,SQneg_flag_raw,SQneg_flag_se,DQpos_flag_raw,DQpos_flag_se,EXP_flag_raw,EXP_flag_se,high_rating_raw,high_rating_se,H_adj
Johannesburg,South Africa,1963,470,0.4391237901171676,0.41117300807725304,0.4625191228964814,0.013157301307716677,0.3087111563932756,0.012594231347201622,0.09220580743759552,0.007211195768479276,0.19663779928680591,0.009785089750934138,0.3453897096281202,0.013728328167174501,0.05399898115129903,0.006102705135281608,0.1044319918492104,0.008895829623999287,0.6138563423331636,0.013300468615844191,0.8369842078451349,0.012118996062593545,0.1672414321306049
Cairo,Egypt,2169,506,0.425541724296911,0.3955377974174542,0.45370150663397657,0.014390307506206203,0.3171968649147072,0.013088189426140219,0.1000461041954818,0.007588257550229059,0.18118948824343015,0.009458055764711997,0.36422314430613184,0.014859109550799433,0.05624711848778239,0.005653473212311698,0.2111572153065929,0.012969516544119883,0.5555555555555556,0.014531583349759795,0.8086675887505763,0.011604794008410118,0.18760150236339768
Jaipur,India,2791,604,0.4252955929774275,0.4002367390530438,0.4504073905613271,0.01272699339523437,0.319240415621641,0.01133395015606639,0.11465424579003941,0.0072076221876375,0.16338230025080616,0.008517848920570718,0.3833751343604443,0.013513209323104777,0.0347545682551057,0.004421264035138908,0.13400214976710856,0.008118958424287488,0.5858115370834827,0.012348406030712938,0.9172339663203153,0.007357377643575245,0.12827234135115162
Rio de Janeiro,Brazil,3712,812,0.421875,0.4022778808522807,0.44063749907056754,0.009640969602531696,0.3046875,0.009155554385597888,0.09240301724137931,0.006131296069609011,0.1802262931034483,0.006885087099261328,0.3041487068965517,0.008453301156325846,0.06411637931034483,0.004717621289192906,0.11584051724137931,0.006590733896314011,0.6171875,0.009924391000145671,0.8539870689655172,0.008303735078918411,0.34301235335017677
Salvador,Brazil,2555,589,0.4090019569471624,0.38579444809671204,0.43562356370133026,0.012589729966023028,0.3025440313111546,0.010905048735355836,0.08414872798434442,0.0064340717326365005,0.1538160469667319,0.0086474197671121,0.3064579256360078,0.011489445412018611,0.06575342465753424,0.006082473535977144,0.11154598825831702,0.00854226170846305,0.5972602739726027,0.011882127024697325,0.8101761252446184,0.010926672942510996,0.35339660054047684
Foz do Iguaçu,Brazil,1971,460,0.4058853373921867,0.3793888948479237,0.4337856099518717,0.014179290453648283,0.31100963977676305,0.013103675101753365,0.07356671740233384,0.006773476508987809,0.14561136478944697,0.009411926347566064,0.3191273465246068,0.012501515144659485,0.060882800608828,0.006180810329864,0.07965499746321664,0.008343439455691845,0.5849822425164891,0.013892369919505761,0.8158295281582952,0.011476227929925397,0.22792036748894712
Moscow,Russia,1954,466,0.40276356192425794,0.3768166589805496,0.4336876248084488,0.0145341672080163,0.29426816786079835,0.012563085615059168,0.06038894575230297,0.005860569850279089,0.1796315250767656,0.01025682102234917,0.3991811668372569,0.013924037759385142,0.08393039918116683,0.007238769631308268,0.12231320368474924,0.010631195437655118,0.4764585465711361,0.014040058273921739,0.8249744114636642,0.011740319447505941,-0.14339040830339922
São Paulo,Brazil,3814,845,0.3990561090718406,0.37839676524700006,0.41944317240964873,0.010280248340099673,0.28972207656004195,0.008620314366653538,0.09019402202412166,0.006165945253681774,0.16858940744625064,0.007235190071325605,0.2960146827477714,0.008620659494625978,0.07551127425275302,0.005500944113514169,0.07524908232826429,0.005655506156163662,0.5899318300996329,0.010119524321436509,0.8177766124803356,0.009079802379413254,0.23329498052690067
Agra,India,2353,526,0.39779005524861877,0.37120561867080926,0.4266292275574113,0.013841125069594142,0.3030174245643859,0.012310855951366571,0.09094772630684234,0.007321844428996104,0.143646408839779,0.00814491634188986,0.35741606459838504,0.013600683231800905,0.05907352316192095,0.00634400543724642,0.1228219294517637,0.008912297445868324,0.5214619634509138,0.01364649963260491,0.8431789205269868,0.010871873162579863,0.0772750092860279
Addis Ababa,Ethiopia,1000,264,0.395,0.3596829334405399,0.42654314098364454,0.018066508020003598,0.289,0.016206998224119033,0.112,0.010932641110475764,0.147,0.013197187825143545,0.41,0.022031637481208052,0.049,0.006982100787943329,0.248,0.01687253627801124,0.605,0.01956931152867023,0.844,0.015818583938193367,-0.03860430861431813
Al-Ula,Saudi Arabia,229,55,0.35807860262008734,0.27247761830325423,0.44164698605488073,0.043518669834517035,0.2314410480349345,0.02991155634474771,0.07860262008733625,0.019578063359003927,0.17903930131004367,0.031313502431487034,0.3056768558951965,0.03896972847040311,0.05240174672489083,0.01943785206845305,0.24017467248908297,0.04270867391090515,0.47161572052401746,0.04106388920539295,0.7816593886462883,0.03932605071373291,0.051312121479588774
Riyadh,Saudi Arabia,2246,490,0.3468388245770258,0.3181922284562111,0.373869444009657,0.013643776989882225,0.25868210151380233,0.011758787523225352,0.07569011576135352,0.007067265910127894,0.15939447907390916,0.00934262027269493,0.3557435440783615,0.013185347914325322,0.0823686553873553,0.007025009503302666,0.06544968833481746,0.006078680165934674,0.4764024933214604,0.01356886162301596,0.7105966162065895,0.01291871313167228,-0.40864196087299537
Xi'an,China,256,65,0.33984375,0.26505202871662503,0.4108995623941276,0.03807265866654383,0.18359375,0.028680941582156057,0.09765625,0.021318862869292004,0.19921875,0.030954247516031028,0.1640625,0.02725311937402015,0.07421875,0.017137028769433477,0.16796875,0.03359097687495888,0.51171875,0.04015368992983981,0.75,0.03674975921225575,-0.4981285945628812
Jeddah,Saudi Arabia,1672,378,0.33433014354066987,0.3066602584429998,0.3656833589899084,0.01565280661040902,0.2494019138755981,0.013797808966094297,0.0729665071770335,0.006709968312176738,0.14832535885167464,0.010689857010054479,0.33433014354066987,0.015216097981170434,0.07117224880382775,0.0063858647724816826,0.08014354066985646,0.0082559686277686,0.458133971291866,0.0155323760917111,0.7266746411483254,0.015135214490107598,-0.38678950074707247
Beijing,China,394,95,0.31218274111675126,0.2462107843137255,0.37486641062035564,0.03314230753950115,0.21573604060913706,0.02718770713169403,0.048223350253807105,0.011159657156747074,0.13959390862944163,0.022014178384326236,0.28426395939086296,0.026354172326819605,0.10152284263959391,0.016466568754805712,0.2969543147208122,0.031102299745487127,0.43908629441624364,0.0340140982754693,0.6878172588832487,0.027321689255789542,-0.38165501871103197
Shiraz,Iran,437,143,0.28832951945080093,0.2301980198019802,0.3466651995305164,0.030930526274605213,0.21052631578947367,0.02720026679147932,0.06178489702517163,0.013440124004152178,0.10755148741418764,0.01732432388178098,0.2906178489702517,0.029168379521792,0.04576659038901602,0.013359044607870022,0.15789473684210525,0.02129662725423011,0.4096109839816934,0.029124839244378035,0.7757437070938215,0.025083768198537373,-0.10714439464914388
Shanghai,China,388,94,0.26804123711340205,0.2176149193548387,0.3295161138333961,0.028184083676072877,0.14948453608247422,0.023392566511831647,0.041237113402061855,0.011065813506207904,0.15979381443298968,0.024212151611730463,0.2551546391752577,0.02428731867460259,0.04381443298969072,0.010476057044632558,0.2654639175257732,0.03025734051559254,0.34536082474226804,0.026987316386214603,0.5979381443298969,0.027894661672286058,-0.6023125405160628
Tehran,Iran,1006,290,0.23260437375745527,0.19947997255870814,0.2659540117416829,0.01730614907162355,0.16600397614314116,0.014916744343348097,0.04970178926441352,0.007376234984255344,0.09642147117296222,0.010855685829691467,0.2355864811133201,0.01668621989049697,0.06660039761431412,0.009247921553354778,0.11133200795228629,0.0141655186987809,0.3508946322067594,0.019424310068050968,0.7465208747514911,0.020890172577354496,-0.6022476575792515
Isfahan,Iran,529,167,0.23251417769376181,0.18655865013982315,0.28943340831707925,0.026510587058157842,0.166351606805293,0.022350462208149686,0.05860113421550094,0.012809856888528535,0.1001890359168242,0.01732597078967649,0.21739130434782608,0.024905111905564624,0.06049149338374291,0.012298320793568643,0.14177693761814744,0.020371396775138984,0.3572778827977316,0.0294437321430078,0.7504725897920604,0.027985474113627017,-0.46381462247222144
